area,perimetro,largura,altura,aspect,extent,solidity,circularidade,hu1,hu2,hu3,hu4,hu5,hu6,hu7,hull_area,num_vertices,defeitos,classe
355753.5,6709.166853427887,2762.99609375,161.3909149169922,17.11989857155891,0.7977922754341834,0.850068100358423,0.09931660380066616,-0.2217671951686954,-0.4390423607869311,2.7211807918473547,2.7423531613326584,5.474108137785309,2.5239502068643707,-8.161124552461233,418500.0,4,31,lapis
343189.5,6014.933770775795,2646.209716796875,151.82260131835938,17.429616498587013,0.8542270188120039,0.9355558917698822,0.1192016196649473,-0.21842424133244834,-0.4323909822597765,2.32477411201656,2.3644102399603533,4.709014203796172,2.1521759117583694,-6.804193687930055,366829.5,5,33,lapis
370848.0,6063.263846158981,2658.94970703125,173.7125244140625,15.306609100293525,0.8028874818810234,0.876461614272091,0.1267631056782475,-0.18671327878639532,-0.3682696714922773,2.5247172298196867,2.5690128114963704,5.11589604984706,2.3905065229572333,-7.09491301587663,423119.5,6,40,lapis
420358.5,6224.937924742699,2716.786865234375,178.1588134765625,15.249242022998649,0.868474263593889,0.9286130069465078,0.13632002205180804,-0.1452237194728673,-0.28427505033974954,3.524179808568788,3.572822110725177,7.120757755398262,3.431436418863979,-9.246871091820744,452673.5,5,40,lapis
436204.0,6145.348865151405,2658.024169921875,184.65835571289062,14.39428050607473,0.8887134520369186,0.9468862878577382,0.14514645157907335,-0.10532791160835851,-0.2032567604324618,3.255959454306131,3.2994349475887437,6.576975172510008,3.2005622424022557,8.79928064383799,460672.0,5,46,lapis
459993.5,5793.672344923019,2636.651611328125,194.66119384765625,13.544824005300175,0.8962301778063141,0.9421704021178652,0.1722081486862645,-0.08268876036514221,-0.157053558325683,2.9617228069697874,2.977570263246812,5.947179353095776,2.8991425810817875,8.613008876697066,488227.5,5,36,lapis
453432.0,5635.979790329933,2669.05078125,186.8413848876953,14.285115596067142,0.9092477852762,0.9459625230006634,0.17938378196123297,-0.10005458673646246,-0.19247485634972517,4.786766429644382,4.846354785826096,9.49862413209109,4.7644745234269,9.975376393179268,479334.0,5,36,lapis
423137.5,5985.96496617794,2618.673828125,181.78628540039062,14.405233169032964,0.8888715226361215,0.9334550327871565,0.14839628826411475,-0.113605998606504,-0.22002881858452758,4.005781380604532,3.98758604851649,7.980104493987532,3.8776677630257175,-9.873802431445704,453302.5,5,39,lapis
360961.0,5874.484220385551,2603.655517578125,153.05853271484375,17.01084853876703,0.9057726690214911,0.9528788762733923,0.13144094173065302,-0.17925513142244123,-0.35325314015654613,2.7408247317910086,2.758119167650904,5.507577635883912,2.5819056033953505,8.342237700208834,378811.0,4,39,lapis
328459.0,5776.802928924561,2610.702880859375,144.12428283691406,18.114247158569068,0.8729443505111154,0.9328677406161956,0.1236846846152399,-0.22778829176813445,-0.45134711947270034,2.745847460734921,2.7754738760953512,5.536126877403309,2.5543070825063277,7.773052071222002,352096.0,6,37,lapis
319786.0,5781.917407989502,2606.283203125,130.72268676757812,19.93749721315712,0.9386136725943404,0.9706574230618632,0.12020583328282458,-0.23028798018800603,-0.4564543604114831,3.630621951296353,3.6232515404150427,7.249416713332357,3.395044104072428,-9.959032470215393,329453.0,5,33,lapis
333193.5,5774.927179694176,2678.3701171875,134.48255920410156,19.916115019216655,0.9250388324939837,0.9542129236514535,0.1255490295225653,-0.23667633010775382,-0.4693453050135251,4.9728750661563375,5.105695583650847,9.765556549084348,4.877956190870288,9.989119132999576,349181.5,5,39,lapis
320618.5,5673.761536002159,2698.123046875,131.87405395507812,20.4598476042459,0.9010885459266191,0.9284812417647655,0.12515732848375663,-0.2675694818154105,-0.5315974477360326,3.2727325257649555,3.3065849570241648,6.596078738101406,3.0433076422965017,8.836096899701417,345315.0,5,34,lapis
352938.5,6174.003630399704,2757.621337890625,149.39974975585938,18.458005066253282,0.8566719255974511,0.9129506377541122,0.11635234445574476,-0.2358873306043779,-0.4677303697949137,3.7115144912317763,3.8629494731221463,7.649515424240253,3.6735939730907847,8.741713406559883,386591.0,4,33,lapis
383455.0,6345.3470849990845,2791.03662109375,155.09619140625,17.99552004331989,0.8858246002233898,0.9230460000457364,0.11967777430578616,-0.21643571461177644,-0.42842321019468926,2.800239470294726,2.8260132515858345,5.639125634636495,2.6159156900426863,-7.959129952881394,415423.5,6,36,lapis
431430.0,6401.469071149826,2833.64990234375,171.21139526367188,16.550591728896457,0.8892655791580478,0.9446351780975486,0.13230032223435287,-0.17755526614677647,-0.34977377951261146,2.7798884545396163,2.797927883793336,5.586819996435236,2.6235958875583663,-8.335102438112184,456716.0,6,45,lapis
508007.5,6490.371160626411,2853.1318359375,195.59860229492188,14.586667810823988,0.9102957963630682,0.9543263879561279,0.15154475908475853,-0.10274718685000367,-0.198020490061814,4.1549588241175535,4.26608035018844,8.464175630747445,4.1941163435183055,9.611507386726295,532320.5,6,37,lapis
436775.0,5693.494508504868,2711.614013671875,177.08428955078125,15.312561156896326,0.9095987801612693,0.9515971428664801,0.16932060992240935,-0.12986554548496426,-0.25309864311471236,2.9662266403374637,2.99615976186222,5.977312921010151,2.870412001965928,-8.608172698385415,458991.5,5,35,lapis
